scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor,mode
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,48.438,,16.5,1,0.0,,56.34,,,,,,,reactive
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,100.0,9.0,0.0,0,87.57,0.8125,102.88,2.0,,,,,,autonomous
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,31.771,6.75,15.5,20,0.0,0.8594,53.65,4.0,87.5,0.0,12.5,0.649,0.925,hitl
