scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
93,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,27.431,,45.0,1,0.0,,54.36,reactive,,,,,,
93,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,100.0,,0.0,0,85.05,,102.67,autonomous,2.0,,,,,
93,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,100.0,,0.0,0,85.12,,102.66,hitl,2.0,66.67,0.0,33.33,0.757,0.825
