scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,9.635,,84.0,1,0.0,,43.31,reactive,,,,,,
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,19.792,6.75,69.0,11,0.0,0.9297,51.07,autonomous,13.0,,,,,
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,44.01,9.0,49.75,9,0.0,0.9062,89.37,hitl,12.0,69.57,26.09,0.0,0.815,0.97
