scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,4.948,,89.75,1,0.0,,45.81,reactive,,,,,,
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,11.198,3.0,74.5,25,0.0,0.9688,54.12,autonomous,6.0,,,,,
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,75.0,63.75,17.5,1,0.0,0.3359,89.35,hitl,6.0,70.0,10.0,10.0,0.864,0.93
