scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor,mode
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,27.083,,44.75,1,0.0,,54.61,,,,,,,reactive
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,94.444,59.25,0.0,0,10.61,0.1771,87.53,4.0,,,,,,autonomous
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,22.222,8.25,46.5,13,0.0,0.8854,52.47,4.0,66.67,0.0,33.33,0.516,0.85,hitl
