scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,9.375,,83.5,2,0.0,,41.79,reactive,,,,,,
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,20.573,6.75,62.0,19,0.0,0.9297,50.78,autonomous,7.0,,,,,
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,44.531,,46.5,11,0.0,,94.74,hitl,6.0,61.54,15.38,0.0,1.114,0.977
