scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,20.312,,69.25,1,0.0,,54.54,reactive,,,,,,
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,79.948,67.5,12.0,1,0.0,0.2969,89.88,autonomous,6.0,,,,,
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,16.146,6.75,66.75,20,0.0,0.9297,54.33,hitl,6.0,83.33,0.0,0.0,0.67,1.0
