scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
85,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,2,23.09,17.188,,73.0,1,0.0,,52.79,reactive,,,,,,
85,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,2,23.09,74.74,9.0,17.75,1,0.0,0.9062,89.75,autonomous,6.0,,,,,
85,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,2,23.09,80.469,9.0,11.5,1,0.0,0.9062,89.51,hitl,6.0,90.91,0.0,0.0,0.725,1.0
