scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor,mode
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,21.615,,67.75,1,0.0,,49.63,,,,,,,reactive
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,44.01,9.0,50.5,10,0.0,0.9062,88.16,12.0,,,,,,autonomous
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,15.365,3.0,72.5,16,0.0,0.9688,49.9,13.0,76.19,19.05,0.0,0.659,0.974,hitl
